game,class
The Witcher 3: Wild Hunt,AAA
Portal,AAA
Max Payne,AAA
Team Fortress 2,AAA
Half-Life 2: Episode 2,AAA
Left 4 Dead,AAA
Half-Life 2,AAA
Day of Defeat: Source,AAA
Portal 2,AAA
Thronebreaker: The Witcher Tales,AAA
To The Moon,Indie
Vanquish,AAA
Black Mesa,indie
Cities: Skylines,AAA
The Secret of Monkey Island: Special Edition,AAA
"Warhammer 40,000: Dawn of War - Dark Crusade",AAA
Counter Strike: Source,AAA
Grand Theft Auto: San Andreas,AAA
Max Payne 2: The Fall of Max Payne,AAA
Supreme Commander: Forged Alliance,AAA
Vampire: The Masquerade - Bloodlines,AAA
The Evil Within 2,AAA
Europa Universalis IV,AAA
Hollow Knight,Indie
Mass Effect 2,AAA
Alien Swarm,AAA
Kathy Rain,indie
Alan Wake,AAA
A Story About My Uncle,indie
Battle Brothers,indie
The Decendant,indie
Company of Heroes 2,AAA
The Sims 3,AAA
Yakuza 0,AAA
Mount & Blade,indie
Mad Max,AAA
Dota 2,AAA
S.T.A.L.K.E.R.: Shadow of Chernobyl,AAA
theHunter: Call of the Wild,AAA
Grim Dawn,AAA
Rust,indie
Counter Strike: Global Offensive,AAA
Prey,AAA
SpellForce 3,AAA
The Elder Scrolls: Legends,AAA
Path of Exile,indie
Enter the Gungeon,indie
Kingdoms of Amalur: Reckoning,AAA
Arma 3,AAA
SMITE,AAA
Killing Floor 2,AAA
Dirty Bomb,AAA
Terraria,indie
Surviving Mars,AAA
Darkest Dungeon,indie
The Elder Scrolls V: Skyrim,AAA
Stardew Valley,indie
Warframe,AAA
Grand Theft Auto: V,AAA
Borderlands 2,AAA
Sid Meier's Civilization V,AAA
Left 4 Dead 2,AAA
War Thunder,AAA
Tom Clancy's Rainbow Six Siege,AAA
Warface,AAA
Counter-Strike: Condition Zero,AAA
The Tiny Bang Story,indie
Tomb Raider,AAA
Saints Row: The Third,AAA
